freq,nrg_bal,siec,unit,geo,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
A,FC_OTH_HH_E,C0000X0350-0370,KTOE,AL,0.235,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,FC_OTH_HH_E,C0000X0350-0370,KTOE,AT,31.656,26.15,21.283,20.544,22.476,19.279,19.733,13.573,9.285,8.331,6.368,3.867
A,FC_OTH_HH_E,C0000X0350-0370,KTOE,BA,,56.449,55.122,73.537,104.375,76.678,57.292,58.407,60.607,53.947,45.491,35.75
A,FC_OTH_HH_E,C0000X0350-0370,KTOE,BE,117.172,76.259,75.707,73.261,70.273,57.479,41.664,32.974,45.584,31.911,24.924,21.593
A,FC_OTH_HH_E,C0000X0350-0370,KTOE,BG,188.965,131.669,133.448,150.582,158.671,114.688,102.302,99.401,139.648,42.011,13.961,12.853
A,FC_OTH_HH_E,C0000X0350-0370,KTOE,CY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,FC_OTH_HH_E,C0000X0350-0370,KTOE,CZ,977.504,830.102,830.505,820.004,837.64,786.32,646.585,634.435,636.448,668.11,427.951,326.949
A,FC_OTH_HH_E,C0000X0350-0370,KTOE,DE,691.631,572.765,600.785,519.58,500.376,492.475,345.388,315.706,348.113,298.147,279.832,173.264
A,FC_OTH_HH_E,C0000X0350-0370,KTOE,DK,0.437,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,FC_OTH_HH_E,C0000X0350-0370,KTOE,EE,5.836,4.54,2.594,1.945,2.102,1.051,1.191,0.959,0.596,0.0,0.238,0.238
A,FC_OTH_HH_E,C0000X0350-0370,KTOE,EL,0.873,2.888,4.663,1.947,4.424,3.595,3.408,3.071,3.234,1.661,0.0,0.926
A,FC_OTH_HH_E,C0000X0350-0370,KTOE,ES,94.789,91.848,88.588,79.063,79.322,68.353,64.93,46.408,1.275,1.275,0.0,0.0
A,FC_OTH_HH_E,C0000X0350-0370,KTOE,EU27_2020,9575.991,8581.131,8482.587,8792.18,8710.141,8126.613,6574.366,6724.705,6404.395,5472.562,5075.592,4387.072
A,FC_OTH_HH_E,C0000X0350-0370,KTOE,FI,0.594,0.592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,FC_OTH_HH_E,C0000X0350-0370,KTOE,FR,47.428,35.139,36.374,37.776,35.595,26.356,24.452,20.759,26.206,26.548,19.404,20.087
A,FC_OTH_HH_E,C0000X0350-0370,KTOE,GE,0.416,0.406,0.406,0.812,0.538,0.197,0.224,0.062,0.0,0.084,0.352,0.296
A,FC_OTH_HH_E,C0000X0350-0370,KTOE,HR,5.182,3.559,3.129,2.944,3.635,2.573,2.777,2.392,1.761,1.527,1.087,1.082
A,FC_OTH_HH_E,C0000X0350-0370,KTOE,HU,133.497,102.428,94.677,120.56,141.646,95.18,70.569,56.342,45.075,49.531,32.251,23.602
A,FC_OTH_HH_E,C0000X0350-0370,KTOE,IE,244.306,217.558,233.621,242.135,177.825,191.746,165.633,173.281,155.488,99.584,74.726,80.596
A,FC_OTH_HH_E,C0000X0350-0370,KTOE,IS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,FC_OTH_HH_E,C0000X0350-0370,KTOE,IT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,FC_OTH_HH_E,C0000X0350-0370,KTOE,LT,50.033,42.541,34.799,36.541,41.801,41.399,31.679,24.659,30.299,26.339,13.74,16.439
A,FC_OTH_HH_E,C0000X0350-0370,KTOE,LU,0.635,0.498,0.616,0.587,0.381,0.237,0.249,0.23,0.214,1.021,0.242,0.162
A,FC_OTH_HH_E,C0000X0350-0370,KTOE,LV,12.643,12.696,11.993,11.897,9.79,6.592,4.655,1.305,1.261,1.243,1.129,0.616
A,FC_OTH_HH_E,C0000X0350-0370,KTOE,MD,57.928,40.18,38.693,28.989,52.604,36.42,60.492,42.19,44.124,35.663,32.012,29.561
A,FC_OTH_HH_E,C0000X0350-0370,KTOE,ME,2.42,2.86,3.3,4.53,2.317,2.085,2.145,2.043,1.916,1.809,1.409,1.413
