geo,siec,year,value
AL,coal,2013,0.235
AT,coal,2013,31.656
BA,coal,2013,NULL
BE,coal,2013,117.172
BG,coal,2013,188.965
CY,coal,2013,0
CZ,coal,2013,977.504
DE,coal,2013,691.631
DK,coal,2013,0.437
EE,coal,2013,5.836
EL,coal,2013,0.873
ES,coal,2013,94.789
FI,coal,2013,0.594
FR,coal,2013,47.428
GE,coal,2013,0.416
HR,coal,2013,5.182
HU,coal,2013,133.497
IE,coal,2013,244.306
IS,coal,2013,0
IT,coal,2013,0
LT,coal,2013,50.033
LU,coal,2013,0.635
LV,coal,2013,12.643
MD,coal,2013,57.928
ME,coal,2013,2.42
MK,coal,2013,1.148
MT,coal,2013,0
NL,coal,2013,0.955
NO,coal,2013,0
PL,coal,2013,6919.583
PT,coal,2013,0
RO,coal,2013,25.348
RS,coal,2013,204.668
SE,coal,2013,0
SI,coal,2013,0.454
SK,coal,2013,26.47
TR,coal,2013,2170.147
XK,coal,2013,18.262
AL,electricity,2013,331.9
AT,electricity,2013,1517.555
BA,electricity,2013,NULL
BE,electricity,2013,1654.136
BG,electricity,2013,906.019
CY,electricity,2013,123.56
CZ,electricity,2013,1265.348
DE,electricity,2013,11693.895
DK,electricity,2013,886.242
EE,electricity,2013,160.361
EL,electricity,2013,1500.086
ES,electricity,2013,6110.06
FI,electricity,2013,1849.527
FR,electricity,2013,14456.511
GE,electricity,2013,193.809
HR,electricity,2013,536.285
HU,electricity,2013,909.716
IE,electricity,2013,683.383
IS,electricity,2013,71.969
IT,electricity,2013,5759.501
LT,electricity,2013,222.786
LU,electricity,2013,84.195
LV,electricity,2013,153.31
MD,electricity,2013,138.521
ME,electricity,2013,109.802
MK,electricity,2013,263.543
MT,electricity,2013,52.365
NL,electricity,2013,2008.681
NO,electricity,2013,3344.971
PL,electricity,2013,2445.572
PT,electricity,2013,1058.813
RO,electricity,2013,1022.872
RS,electricity,2013,1216.337
SE,electricity,2013,3740.671
SI,electricity,2013,277.644
SK,electricity,2013,423.904
TR,electricity,2013,3866.896
XK,electricity,2013,229.321
AL,"natural gas",2013,0
AT,"natural gas",2013,1429.039
BA,"natural gas",2013,NULL
BE,"natural gas",2013,3738.559
BG,"natural gas",2013,44.949
CY,"natural gas",2013,0
CZ,"natural gas",2013,2029.944
DE,"natural gas",2013,22509.462
DK,"natural gas",2013,649.907
EE,"natural gas",2013,52.279
EL,"natural gas",2013,232.439
ES,"natural gas",2013,3193.569
FI,"natural gas",2013,29.449
FR,"natural gas",2013,14507.507
GE,"natural gas",2013,471.305
HR,"natural gas",2013,488.306
HU,"natural gas",2013,2513.07
IE,"natural gas",2013,604.987
IS,"natural gas",2013,0
IT,"natural gas",2013,18073.087
LT,"natural gas",2013,123.173
LU,"natural gas",2013,211.339
LV,"natural gas",2013,101.698
MD,"natural gas",2013,210.404
ME,"natural gas",2013,0
MK,"natural gas",2013,0
MT,"natural gas",2013,0
NL,"natural gas",2013,8573.746
NO,"natural gas",2013,3.716
PL,"natural gas",2013,3419.933
PT,"natural gas",2013,244.733
RO,"natural gas",2013,2444.669
RS,"natural gas",2013,174.011
SE,"natural gas",2013,33.405
SI,"natural gas",2013,114.402
SK,"natural gas",2013,1144.69
TR,"natural gas",2013,7853.805
XK,"natural gas",2013,0
AL,"district heating",2013,0
AT,"district heating",2013,732.6
BA,"district heating",2013,NULL
BE,"district heating",2013,10.588
BG,"district heating",2013,318.334
CY,"district heating",2013,0
CZ,"district heating",2013,1194.229
DE,"district heating",2013,4406.372
DK,"district heating",2013,1645.911
EE,"district heating",2013,330.085
EL,"district heating",2013,41.511
ES,"district heating",2013,0
FI,"district heating",2013,1598.285
FR,"district heating",2013,1095.112
GE,"district heating",2013,0
HR,"district heating",2013,138.148
HU,"district heating",2013,523.24
IE,"district heating",2013,0
IS,"district heating",2013,311.837
IT,"district heating",2013,930.52
LT,"district heating",2013,464.675
LU,"district heating",2013,0
LV,"district heating",2013,368.276
MD,"district heating",2013,108.818
ME,"district heating",2013,0
MK,"district heating",2013,28.255
MT,"district heating",2013,0
NL,"district heating",2013,325.404
NO,"district heating",2013,93.08
PL,"district heating",2013,4203.688
PT,"district heating",2013,0.979
RO,"district heating",2013,905.083
RS,"district heating",2013,376.564
SE,"district heating",2013,2643.857
SI,"district heating",2013,81.446
SK,"district heating",2013,499.236
TR,"district heating",2013,0
XK,"district heating",2013,2.388
AL,"heating oil",2013,82.49
AT,"heating oil",2013,30.651
BA,"heating oil",2013,NULL
BE,"heating oil",2013,132.942
BG,"heating oil",2013,24.171
CY,"heating oil",2013,37.281
CZ,"heating oil",2013,38.707
DE,"heating oil",2013,860.855
DK,"heating oil",2013,16.48
EE,"heating oil",2013,3.26
EL,"heating oil",2013,60.428
ES,"heating oil",2013,1172.671
FI,"heating oil",2013,4.423
FR,"heating oil",2013,1073.051
GE,"heating oil",2013,15.382
HR,"heating oil",2013,60.477
HU,"heating oil",2013,84.193
IE,"heating oil",2013,40.039
IS,"heating oil",2013,1.123
IT,"heating oil",2013,1192.08
LT,"heating oil",2013,38.805
LU,"heating oil",2013,0.386
LV,"heating oil",2013,21.754
MD,"heating oil",2013,63.818
ME,"heating oil",2013,0
MK,"heating oil",2013,7.838
MT,"heating oil",2013,15.382
NL,"heating oil",2013,30.226
NO,"heating oil",2013,8.809
PL,"heating oil",2013,516.385
PT,"heating oil",2013,452.661
RO,"heating oil",2013,204.648
RS,"heating oil",2013,70.06
SE,"heating oil",2013,4.578
SI,"heating oil",2013,29.697
SK,"heating oil",2013,8.79
TR,"heating oil",2013,942.413
XK,"heating oil",2013,8.793
AL,"other petroleum products",2013,0
AT,"other petroleum products",2013,0
BA,"other petroleum products",2013,NULL
BE,"other petroleum products",2013,40.465
BG,"other petroleum products",2013,0
CY,"other petroleum products",2013,12.554
CZ,"other petroleum products",2013,0
DE,"other petroleum products",2013,3.067
DK,"other petroleum products",2013,0
EE,"other petroleum products",2013,0
EL,"other petroleum products",2013,4.108
ES,"other petroleum products",2013,0
FI,"other petroleum products",2013,0
FR,"other petroleum products",2013,187.379
GE,"other petroleum products",2013,0
HR,"other petroleum products",2013,1.05
HU,"other petroleum products",2013,0
IE,"other petroleum products",2013,724.919
IS,"other petroleum products",2013,0
IT,"other petroleum products",2013,7.189
LT,"other petroleum products",2013,0
LU,"other petroleum products",2013,0.716
LV,"other petroleum products",2013,0
